frame,file,sources,quadratic_seconds,ballet_seconds,gaussian2d_seconds,quadratic_ballet_median_px,quadratic_gaussian_median_px,ballet_gaussian_median_px
0,/data/MuSCAT3/260119/ogg2m001-ep02-20260119-0089-e91.fits,49,0.0147373330546543,3.4566393030108884,0.8035683779744431,3.8339505892871784,6.005960473403836,3.159660544919267
1,/data/MuSCAT3/260119/ogg2m001-ep02-20260119-0260-e91.fits,50,0.01649667101446539,3.2404085240559652,0.9696230659028515,5.641376973321794,6.2250228618121906,3.1679761721380775
2,/data/MuSCAT3/260119/ogg2m001-ep02-20260119-0430-e91.fits,47,0.01475898502394557,3.4167136600008234,0.7460475690895692,5.835063644098884,6.340279224752371,2.7889631146974496
3,/data/MuSCAT3/260119/ogg2m001-ep02-20260119-0600-e91.fits,42,0.012962530017830431,2.51046098198276,0.8339885770110413,5.422530812088138,6.768395923418789,2.9438704184189897
4,/data/MuSCAT3/260119/ogg2m001-ep02-20260119-0770-e91.fits,47,0.014790285960771143,0.3466999150114134,0.6641096250386909,4.576160096741099,6.25428836577321,2.7822436069100087
5,/data/MuSCAT3/260119/ogg2m001-ep02-20260119-0941-e91.fits,40,0.012811554013751447,3.2652392860036343,0.5901034669950604,4.657148481473033,6.460720168033356,2.1737283933995344
6,/data/MuSCAT3/260119/ogg2m001-ep02-20260119-1111-e91.fits,50,0.01634844799991697,0.33967336697969586,0.8247561809839681,4.839989465075494,6.06409416895861,3.067696458999932
7,/data/MuSCAT3/260119/ogg2m001-ep02-20260119-1281-e91.fits,41,0.015182081027887762,3.4550237769726664,0.6272432100959122,5.316581375272018,6.092668139978687,2.0085425272838204
8,/data/MuSCAT3/260119/ogg2m001-ep02-20260119-1451-e91.fits,49,0.01556590897962451,0.3730131209595129,0.6627783350413665,5.119445704148263,6.677762286183377,2.5349824584108673
9,/data/MuSCAT3/260119/ogg2m001-ep02-20260119-1622-e91.fits,47,0.014949565986171365,0.34122719208244234,0.5773709559580311,3.9363818620298274,5.879903141433161,2.5128028985648614
